Date,Downtime Description,Start Time [24:00],End Time [24:00],Downtime Category,Duration (minutes),D_Change produced material,D_Electrical/Mechanical,D_Lack of feed,D_Meetings/Breaks/Training,D_Planned Maintenance,D_Production Stoppage,D_Rate loss,D_Start up/Shut Down,D_Weather/Environmental
2024-01-04,SAFETY TALK,2024-01-04 00:00:00,2024-01-04 00:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-04,CC AND TRAVEL,2024-01-04 00:15:00,2024-01-04 00:45:00,Start up/Shut Down,30,False,False,False,False,False,False,False,True,False
2024-01-04,LUNCH,2024-01-04 04:30:00,2024-01-04 05:15:00,Meetings/Breaks/Training,45,False,False,False,True,False,False,False,False,False
2024-01-04,SAFETY TALK,2024-01-04 08:00:00,2024-01-04 08:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-04,CC AND TRAVEL,2024-01-04 08:15:00,2024-01-04 08:30:00,Start up/Shut Down,15,False,False,False,False,False,False,False,True,False
2024-01-04,BREAK,2024-01-04 12:30:00,2024-01-04 13:00:00,Meetings/Breaks/Training,30,False,False,False,True,False,False,False,False,False
2024-01-04,TRAVEL,2024-01-04 13:00:00,2024-01-04 13:20:00,Meetings/Breaks/Training,20,False,False,False,True,False,False,False,False,False
2024-01-04,MAINTENANCE,2024-01-04 00:30:00,2024-01-04 01:22:00,Planned Maintenance,52,False,False,False,False,True,False,False,False,False
2024-01-04,CLEAN BRIDGE,2024-01-04 02:01:00,2024-01-04 03:11:00,Production Stoppage,70,False,False,False,False,False,True,False,False,False
2024-01-04,FEEDERS EMPTY,2024-01-04 16:15:00,2024-01-04 21:25:00,Lack of feed,310,False,False,True,False,False,False,False,False,False
2024-01-04,FEED OFF - EMPTY BELT,2024-01-04 22:52:00,2024-01-04 23:45:00,Start up/Shut Down,53,False,False,False,False,False,False,False,True,False
2024-01-04,MAINTENANCE,2024-01-04 00:30:00,2024-01-04 03:52:00,Planned Maintenance,202,False,False,False,False,True,False,False,False,False
2024-01-04,FEEDERS EMPTY,2024-01-04 19:46:00,2024-01-04 22:19:00,Lack of feed,153,False,False,True,False,False,False,False,False,False
2024-01-04,FEED OFF - SHUTDOWN,2024-01-04 23:01:00,2024-01-04 23:45:00,Start up/Shut Down,44,False,False,False,False,False,False,False,True,False
2024-01-04,MAINTENANCE,2024-01-04 00:30:00,2024-01-04 02:41:00,Planned Maintenance,131,False,False,False,False,True,False,False,False,False
2024-01-04,GATES PLUGGED/JAMMED,2024-01-04 02:56:00,2024-01-04 03:01:00,Electrical/Mechanical,5,False,True,False,False,False,False,False,False,False
2024-01-04,WC1 TAIL PULLEY BEARING GONE,2024-01-04 03:19:00,2024-01-04 05:02:00,Electrical/Mechanical,103,False,True,False,False,False,False,False,False,False
2024-01-04,START UP,2024-01-04 08:00:00,2024-01-04 09:27:00,Start up/Shut Down,87,False,False,False,False,False,False,False,True,False
2024-01-05,SAFETY TALK,2024-01-05 00:00:00,2024-01-05 00:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-05,CC AND TRAVEL,2024-01-05 00:16:00,2024-01-05 00:35:00,Start up/Shut Down,19,False,False,False,False,False,False,False,True,False
2024-01-05,LUNCH,2024-01-05 04:30:00,2024-01-05 05:15:00,Meetings/Breaks/Training,45,False,False,False,True,False,False,False,False,False
2024-01-05,TRAVEL,2024-01-05 05:15:00,2024-01-05 05:30:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-05,SAFETY TALK,2024-01-05 08:00:00,2024-01-05 08:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-05,CC AND TRAVEL,2024-01-05 08:15:00,2024-01-05 08:33:00,Start up/Shut Down,18,False,False,False,False,False,False,False,True,False
2024-01-05,777 AND 990 OUT FOR MATERIAL TO FIX FLOOR AT FACE,2024-01-05 08:45:00,2024-01-05 09:45:00,Rate loss,60,False,False,False,False,False,False,True,False,False
2024-01-05,BREAK,2024-01-05 12:30:00,2024-01-05 13:00:00,Meetings/Breaks/Training,30,False,False,False,True,False,False,False,False,False
2024-01-05,TRAVEL,2024-01-05 13:00:00,2024-01-05 13:20:00,Meetings/Breaks/Training,20,False,False,False,True,False,False,False,False,False
2024-01-05,START UP,2024-01-05 21:00:00,2024-01-05 22:45:00,Start up/Shut Down,105,False,False,False,False,False,False,False,True,False
2024-01-05,MAINTENANCE,2024-01-05 00:30:00,2024-01-05 01:48:00,Planned Maintenance,78,False,False,False,False,True,False,False,False,False
2024-01-05,SURGE PILE FULL,2024-01-05 11:59:00,2024-01-05 12:51:00,Production Stoppage,52,False,False,False,False,False,True,False,False,False
2024-01-05,NO FEED,2024-01-05 15:47:00,2024-01-05 16:00:00,Lack of feed,13,False,False,True,False,False,False,False,False,False
2024-01-05,SURGE PILE FULL,2024-01-05 19:02:00,2024-01-05 20:18:00,Production Stoppage,76,False,False,False,False,False,True,False,False,False
2024-01-05,FEEDERS EMPTY,2024-01-05 22:21:00,2024-01-05 23:45:00,Lack of feed,84,False,False,True,False,False,False,False,False,False
2024-01-05,MAINTENANCE,2024-01-05 00:30:00,2024-01-05 03:03:00,Planned Maintenance,153,False,False,False,False,True,False,False,False,False
2024-01-05,CIA HIGH AMPS,2024-01-05 03:22:00,2024-01-05 03:23:00,Electrical/Mechanical,1,False,True,False,False,False,False,False,False,False
2024-01-05,REVERSE C7 TO CC1,2024-01-05 07:31:00,2024-01-05 07:43:00,Change produced material,12,True,False,False,False,False,False,False,False,False
2024-01-05,CHANGE C7 WEST,2024-01-05 10:09:00,2024-01-05 10:13:00,Production Stoppage,4,False,False,False,False,False,True,False,False,False
2024-01-05,MOTION FAILURE (C7 EAST?),2024-01-05 11:15:00,2024-01-05 12:23:00,Electrical/Mechanical,68,False,True,False,False,False,False,False,False,False
2024-01-05,MOTION FAIL,2024-01-05 17:19:00,2024-01-05 17:34:00,Electrical/Mechanical,15,False,True,False,False,False,False,False,False,False
2024-01-05,BYPASSING CR4/C8/STARTUP,2024-01-05 17:34:00,2024-01-05 17:36:00,Start up/Shut Down,2,False,False,False,False,False,False,False,True,False
2024-01-05,PLUGGED UP-B SIDE-TILTS,2024-01-05 17:36:00,2024-01-05 19:22:00,Production Stoppage,106,False,False,False,False,False,True,False,False,False
2024-01-05,MAINTENANCE,2024-01-05 00:30:00,2024-01-05 02:38:00,Planned Maintenance,128,False,False,False,False,True,False,False,False,False
2024-01-05,EXCAVATOR INCIDENT,2024-01-05 02:46:00,2024-01-05 05:29:00,Production Stoppage,163,False,False,False,False,False,True,False,False,False
2024-01-06,NO FEED,2024-01-06 00:00:00,2024-01-06 01:43:00,Lack of feed,103,False,False,True,False,False,False,False,False,False
2024-01-06,SEC PILE FULL,2024-01-06 04:14:00,2024-01-06 05:01:00,Production Stoppage,47,False,False,False,False,False,True,False,False,False
2024-01-06,FULL PILE,2024-01-06 08:15:00,2024-01-06 08:58:00,Production Stoppage,43,False,False,False,False,False,True,False,False,False
2024-01-06,OUT OF FEED,2024-01-06 10:50:00,2024-01-06 16:00:00,Lack of feed,310,False,False,True,False,False,False,False,False,False
2024-01-06,NO FEED,2024-01-06 00:00:00,2024-01-06 02:30:00,Lack of feed,150,False,False,True,False,False,False,False,False,False
2024-01-06,PUT V-BELTS ON C12,2024-01-06 02:30:00,2024-01-06 03:00:00,Electrical/Mechanical,30,False,True,False,False,False,False,False,False,False
2024-01-06,BP4 FROZEN,2024-01-06 03:00:00,2024-01-06 04:21:00,Production Stoppage,81,False,False,False,False,False,True,False,False,False
2024-01-06,FLIP GATES TO GO TO BP,2024-01-06 06:51:00,2024-01-06 07:02:00,Change produced material,11,True,False,False,False,False,False,False,False,False
2024-01-06,FCD MOTION FAIL,2024-01-06 11:30:00,2024-01-06 11:55:00,Production Stoppage,25,False,False,False,False,False,True,False,False,False
2024-01-06,DRY SCREENING PLANT,2024-01-06 13:29:00,2024-01-06 14:30:00,Start up/Shut Down,61,False,False,False,False,False,False,False,True,False
2024-01-06,OUT OF FEED,2024-01-06 14:50:00,2024-01-06 16:00:00,Lack of feed,70,False,False,True,False,False,False,False,False,False
2024-01-07,SAFETY TALK,2024-01-07 00:00:00,2024-01-07 00:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-07,CC AND TRAVEL TO SOUTH QUARRY,2024-01-07 00:15:00,2024-01-07 00:40:00,Start up/Shut Down,25,False,False,False,False,False,False,False,True,False
2024-01-07,DOWN A DRIVER,2024-01-07 00:15:00,2024-01-07 03:00:00,Rate loss,165,False,False,False,False,False,False,True,False,False
2024-01-07,LUNCH,2024-01-07 04:35:00,2024-01-07 05:15:00,Meetings/Breaks/Training,40,False,False,False,True,False,False,False,False,False
2024-01-07,TRAVEL,2024-01-07 05:15:00,2024-01-07 05:35:00,Start up/Shut Down,20,False,False,False,False,False,False,False,True,False
2024-01-07,INSPECT CLEAN,2024-01-07 00:00:00,2024-01-07 00:55:00,Planned Maintenance,55,False,False,False,False,True,False,False,False,False
2024-01-07,START UP,2024-01-07 00:55:00,2024-01-07 00:58:00,Start up/Shut Down,3,False,False,False,False,False,False,False,True,False
2024-01-07,RUN OFF SNOW,2024-01-07 00:58:00,2024-01-07 01:20:00,Production Stoppage,22,False,False,False,False,False,True,False,False,False
2024-01-07,CLEAN CARRIAGE,2024-01-07 01:20:00,2024-01-07 01:38:00,Production Stoppage,18,False,False,False,False,False,True,False,False,False
2024-01-07,START UP,2024-01-07 01:38:00,2024-01-07 01:40:00,Start up/Shut Down,2,False,False,False,False,False,False,False,True,False
2024-01-07,FEED OFF - SECONDARY FULL,2024-01-07 04:10:00,2024-01-07 04:30:00,Production Stoppage,20,False,False,False,False,False,True,False,False,False
2024-01-07,SECONDARY SURGE FULL,2024-01-07 06:35:00,2024-01-07 06:55:00,Production Stoppage,20,False,False,False,False,False,True,False,False,False
2024-01-07,FEEDERS EMPTY,2024-01-07 10:30:00,2024-01-07 10:50:00,Lack of feed,20,False,False,True,False,False,False,False,False,False
2024-01-07,OUT OF STONE,2024-01-07 10:50:00,2024-01-07 16:00:00,Start up/Shut Down,310,False,False,False,False,False,False,False,True,False
2024-01-07,START UP,2024-01-07 00:00:00,2024-01-07 03:27:00,Start up/Shut Down,207,False,False,False,False,False,False,False,True,False
2024-01-07,CC12 MOTION FAIL,2024-01-07 03:49:00,2024-01-07 04:10:00,Production Stoppage,21,False,False,False,False,False,True,False,False,False
2024-01-07,OVERSIZE IN 3/4 CRUN,2024-01-07 04:10:00,2024-01-07 05:07:00,Electrical/Mechanical,57,False,True,False,False,False,False,False,False,False
2024-01-07,BYPASS S3A,2024-01-07 06:32:00,2024-01-07 06:43:00,Start up/Shut Down,11,False,False,False,False,False,False,False,True,False
2024-01-07,BYPASS S2A,2024-01-07 06:43:00,2024-01-07 07:17:00,Start up/Shut Down,34,False,False,False,False,False,False,False,True,False
2024-01-07,STOPPED FEED,2024-01-07 11:15:00,2024-01-07 11:45:00,Production Stoppage,30,False,False,False,False,False,True,False,False,False
2024-01-07,OUT OF FEED,2024-01-07 14:40:00,2024-01-07 16:00:00,Lack of feed,80,False,False,True,False,False,False,False,False,False
2024-01-08,SAFETY TALK,2024-01-08 00:00:00,2024-01-08 00:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-08,CC AND TRAVEL,2024-01-08 00:15:00,2024-01-08 00:45:00,Start up/Shut Down,30,False,False,False,False,False,False,False,True,False
2024-01-08,LUNCH,2024-01-08 04:30:00,2024-01-08 05:15:00,Meetings/Breaks/Training,45,False,False,False,True,False,False,False,False,False
2024-01-08,ELECTRICIAN ABOVE CRUSHER,2024-01-08 05:00:00,2024-01-08 05:40:00,Planned Maintenance,40,False,False,False,False,True,False,False,False,False
2024-01-08,SAFETY TALK,2024-01-08 08:00:00,2024-01-08 08:20:00,Meetings/Breaks/Training,20,False,False,False,True,False,False,False,False,False
2024-01-08,CC AND TRAVEL TO SOUTH QUARRY,2024-01-08 08:20:00,2024-01-08 08:45:00,Start up/Shut Down,25,False,False,False,False,False,False,False,True,False
2024-01-08,BREAK,2024-01-08 12:30:00,2024-01-08 13:15:00,Meetings/Breaks/Training,45,False,False,False,True,False,False,False,False,False
2024-01-08,TRAVEL,2024-01-08 13:15:00,2024-01-08 13:35:00,Meetings/Breaks/Training,20,False,False,False,True,False,False,False,False,False
2024-01-08,NO FEED,2024-01-08 22:44:00,2024-01-08 23:45:00,Lack of feed,61,False,False,True,False,False,False,False,False,False
2024-01-08,SAFETY TALK,2024-01-08 16:00:00,2024-01-08 16:15:00,Meetings/Breaks/Training,15,False,False,False,True,False,False,False,False,False
2024-01-08,CC AND TRAVEL,2024-01-08 16:15:00,2024-01-08 17:09:00,Start up/Shut Down,54,False,False,False,False,False,False,False,True,False
2024-01-08,LUNCH,2024-01-08 20:00:00,2024-01-08 20:30:00,Meetings/Breaks/Training,30,False,False,False,True,False,False,False,False,False
2024-01-08,TRUCK AND LOADER OPERATOR NOT HERE,2024-01-08 16:00:00,2024-01-08 23:59:00,Rate loss,479,False,False,False,False,False,False,True,False,False
2024-01-08,MAINTENANCE/LABOUR,2024-01-08 00:30:00,2024-01-08 02:14:00,Planned Maintenance,104,False,False,False,False,True,False,False,False,False
2024-01-08,START UP,2024-01-08 02:14:00,2024-01-08 02:17:00,Start up/Shut Down,3,False,False,False,False,False,False,False,True,False
2024-01-08,FEEDERS EMPTY,2024-01-08 11:44:00,2024-01-08 13:31:00,Lack of feed,107,False,False,True,False,False,False,False,False,False
2024-01-08,FEEDERS EMPTY,2024-01-08 15:13:00,2024-01-08 16:15:00,Lack of feed,62,False,False,True,False,False,False,False,False,False
2024-01-08,NO FEED,2024-01-08 15:45:00,2024-01-08 17:02:00,Lack of feed,77,False,False,True,False,False,False,False,False,False
2024-01-08,NO FEED,2024-01-08 18:59:00,2024-01-08 20:49:00,Lack of feed,110,False,False,True,False,False,False,False,False,False
2024-01-08,NO FEED,2024-01-08 22:44:00,2024-01-08 23:59:00,Lack of feed,75,False,False,True,False,False,False,False,False,False
2024-01-08,MAINTENANCE/CLEAN UP,2024-01-08 00:00:00,2024-01-08 05:15:00,Planned Maintenance,315,False,False,False,False,True,False,False,False,False
2024-01-08,START UP,2024-01-08 05:15:00,2024-01-08 05:20:00,Start up/Shut Down,5,False,False,False,False,False,False,False,True,False
2024-01-08,HIGH AMPS C1A - FEED OFF,2024-01-08 08:16:00,2024-01-08 08:20:00,Rate loss,4,False,False,False,False,False,False,True,False,False
2024-01-08,LOW FEED - BUILD SURGE,2024-01-08 15:00:00,2024-01-08 16:06:00,Lack of feed,66,False,False,True,False,False,False,False,False,False
2024-01-08,OUT OF FEED,2024-01-08 20:14:00,2024-01-08 22:03:00,Lack of feed,109,False,False,True,False,False,False,False,False,False
2024-01-08,SHUTDOWN,2024-01-08 23:23:00,2024-01-08 23:59:00,Start up/Shut Down,36,False,False,False,False,False,False,False,True,False
