Date,Actual Tonnage
2024-01-01,0
2024-01-02,"6,267"
2024-01-03,"21,831"
2024-01-04,"17,462"
2024-01-05,"18,090"
2024-01-06,"8,093"
2024-01-07,"5,769"
2024-01-08,"21,298"
2024-01-09,"23,863"
2024-01-10,"13,517"
2024-01-11,"23,372"
2024-01-12,"13,895"
2024-01-13,"5,130"
2024-01-14,0
2024-01-15,0
2024-01-16,"2,476"
2024-01-17,"4,046"
2024-01-18,"4,887"
2024-01-19,"21,432"
2024-01-20,"6,806"
2024-01-21,"8,065"
2024-01-22,"16,173"
2024-01-23,"5,033"
2024-01-24,"15,466"
2024-01-25,"11,328"
2024-01-26,"13,895"
2024-01-27,"4,789"
2024-01-28,"8,348"
2024-01-29,"4,829"
2024-01-30,"6,153"
2024-01-31,"6,975"
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,"6,127"
2024-03-21,"13,543"
2024-03-22,"19,655"
2024-03-23,"10,384"
2024-03-24,"4,843"
2024-03-25,"20,733"
2024-03-26,"12,937"
2024-03-27,"19,329"
2024-03-28,"20,724"
2024-03-29,"7,818"
2024-03-30,"6,374"
2024-03-31,"8,649"
2024-04-01,"10,782"
2024-04-02,"14,842"
2024-04-03,"18,273"
2024-04-04,"19,918"
2024-04-05,"14,358"
2024-04-06,"5,301"
2024-04-07,"1,846"
2024-04-08,"19,091"
2024-04-09,"19,187"
2024-04-10,"12,809"
2024-04-11,"16,476"
2024-04-12,"14,795"
2024-04-13,"14,277"
2024-04-14,"13,766"
2024-04-15,"17,223"
2024-04-16,"16,011"
2024-04-17,"12,688"
2024-04-18,"23,113"
2024-04-19,"19,591"
2024-04-20,"10,241"
2024-04-21,"11,188"
2024-04-22,"19,653"
2024-04-23,"23,006"
2024-04-24,"20,793"
2024-04-25,"18,412"
2024-04-26,"16,664"
2024-04-27,0
2024-04-28,0
2024-04-29,"14,062"
2024-04-30,"21,069"
2024-05-01,"17,187"
2024-05-02,"18,245"
2024-05-03,"12,257"
2024-05-04,"5,209"
2024-05-05,"10,057"
2024-05-06,"19,482"
2024-05-07,"15,742"
2024-05-08,"18,135"
2024-05-09,"17,481"
2024-05-10,"18,005"
2024-05-11,"6,797"
2024-05-12,"15,227"
2024-05-13,"15,999"
2024-05-14,"17,335"
2024-05-15,"16,995"
2024-05-16,"14,435"
2024-05-17,"15,511"
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,"12,518"
2024-05-22,"21,781"
2024-05-23,"20,565"
2024-05-24,"19,802"
2024-05-25,"12,076"
2024-05-26,"4,133"
2024-05-27,"10,865"
2024-05-28,"18,133"
2024-05-29,"14,647"
2024-05-30,"14,426"
2024-05-31,"19,483"
2024-06-01,"1,759"
2024-06-02,"6,181"
2024-06-03,"22,314"
2024-06-04,"17,926"
2024-06-05,"17,734"
2024-06-06,"18,165"
2024-06-07,"18,331"
2024-06-08,"7,723"
2024-06-09,"10,801"
2024-06-10,"22,882"
2024-06-11,"19,612"
2024-06-12,"17,613"
2024-06-13,"16,231"
2024-06-14,"6,943"
2024-06-15,"5,535"
2024-06-16,"11,405"
2024-06-17,"13,056"
2024-06-18,"12,413"
2024-06-19,"8,875"
2024-06-20,"10,818"
2024-06-21,"18,219"
2024-06-22,0
2024-06-23,0
2024-06-24,"21,619"
2024-06-25,"19,632"
2024-06-26,"23,927"
2024-06-27,"20,417"
2024-06-28,"17,015"
2024-06-29,"6,481"
2024-06-30,"11,240"
2024-07-01,0
2024-07-02,"19,307"
2024-07-03,"10,656"
2024-07-04,"11,759"
2024-07-05,"4,502"
2024-07-06,"5,129"
2024-07-07,"8,932"
2024-07-08,"17,474"
2024-07-09,"19,644"
2024-07-10,"20,372"
2024-07-11,"10,289"
2024-07-12,"11,047"
2024-07-13,0
2024-07-14,"6,545"
2024-07-15,"8,995"
2024-07-16,"4,589"
2024-07-17,"5,116"
2024-07-18,"12,709"
2024-07-19,"14,898"
2024-07-20,0
2024-07-21,0
2024-07-22,"16,720"
2024-07-23,"18,105"
2024-07-24,"21,046"
2024-07-25,"23,048"
2024-07-26,"16,834"
2024-07-27,"5,832"
2024-07-28,"12,842"
2024-07-29,"14,771"
2024-07-30,"12,416"
2024-07-31,"13,959"
2024-08-01,"10,799"
2024-08-02,"19,424"
2024-08-03,"7,301"
2024-08-04,"7,544"
2024-08-05,"5,859"
2024-08-06,"18,493"
2024-08-07,"17,524"
2024-08-08,"20,433"
2024-08-09,"21,895"
2024-08-10,"12,137"
2024-08-11,"4,446"
2024-08-12,"17,963"
2024-08-13,"18,753"
2024-08-14,"12,322"
2024-08-15,"20,182"
2024-08-16,"17,166"
2024-08-17,"1,817"
2024-08-18,"12,755"
2024-08-19,"21,047"
2024-08-20,"21,856"
2024-08-21,"19,487"
2024-08-22,"17,660"
2024-08-23,"14,012"
2024-08-24,"11,363"
2024-08-25,0
2024-08-26,"12,281"
2024-08-27,"15,333"
2024-08-28,"14,546"
2024-08-29,"11,867"
2024-08-30,"14,869"
2024-08-31,"5,844"
2024-09-01,"5,405"
2024-09-02,"6,549"
2024-09-03,12675
2024-09-04,19847
2024-09-05,"18,876"
2024-09-06,"16,851"
2024-09-07,"11,482"
2024-09-08,"4,518"
2024-09-09,"15,465"
2024-09-10,"12,146"
2024-09-11,"18,301"
2024-09-12,12609
2024-09-13,7526
2024-09-14,6711
2024-09-15,10101
2024-09-16,21302
2024-09-17,20775
2024-09-18,21991
2024-09-19,"16,975"
2024-09-20,"17,726"
2024-09-21,6890
2024-09-22,12158
2024-09-23,16027
2024-09-24,19303
2024-09-25,16450
2024-09-26,14820
2024-09-27,16083
2024-09-28,2744
2024-09-29,13940
2024-09-30,15557
2024-10-01,"13,155"
2024-10-02,21658
2024-10-03,17262
2024-10-04,12821
2024-10-05,0
2024-10-06,0
2024-10-07,"18,602"
2024-10-08,16885
2024-10-09,11175
2024-10-10,8963
2024-10-11,11956
2024-10-12,5405
2024-10-13,14348
2024-10-14,6687
2024-10-15,15233
2024-10-16,17469
2024-10-17,14703
2024-10-18,17986
2024-10-19,2795
2024-10-20,9758
2024-10-21,16466
2024-10-22,15463
2024-10-23,18128
2024-10-24,16866
2024-10-25,"14,322"
2024-10-26,"7,171"
2024-10-27,11853
2024-10-28,"19,065"
2024-10-29,"15,577"
2024-10-30,10503
2024-10-31,"21,902"
2024-11-01,11316
2024-11-02,4889
2024-11-03,14628
2024-11-04,"21,388"
2024-11-05,"17,971"
2024-11-06,19212
2024-11-07,10730
2024-11-08,"19,438"
2024-11-09,7315
2024-11-10,12939
2024-11-11,14566
2024-11-12,14449
2024-11-13,"19,148"
2024-11-14,"13,802"
2024-11-15,"11,582"
2024-11-16,0
2024-11-17,0
2024-11-18,17506
2024-11-19,"13,864"
2024-11-20,"12,176"
2024-11-21,12172
2024-11-22,20119
2024-11-23,0
2024-11-24,13639
